timestamp_utc,source,city,state,lat,lon,Ta_C,RH_pct,notes
2026-04-24T22:10:57+00:00,open_meteo,Bhubaneshwar,Odisha,20.26,85.83,26.2,97.0,
2026-04-24T22:10:57+00:00,open_meteo,Cuttack,Odisha,20.46,85.88,26.3,97.0,
2026-04-24T22:10:57+00:00,open_meteo,Sambalpur,Odisha,21.47,83.97,26.7,63.0,
2026-04-24T22:10:57+00:00,open_meteo,Delhi,Delhi,28.61,77.21,28.9,31.0,
2026-04-24T22:10:57+00:00,open_meteo,Lucknow,Uttar Pradesh,26.85,80.95,30.5,22.0,
2026-04-24T22:10:57+00:00,open_meteo,Kolkata,West Bengal,22.57,88.36,28.1,88.0,
2026-04-24T22:10:57+00:00,open_meteo,Mumbai,Maharashtra,19.08,72.88,27.6,57.0,
2026-04-24T22:10:57+00:00,open_meteo,Chennai,Tamil Nadu,13.08,80.27,28.1,87.0,
2026-04-24T22:10:57+00:00,open_meteo,Ahmedabad,Gujarat,23.03,72.58,30.6,33.0,
2026-04-24T22:10:57+00:00,open_meteo,Nagpur,Maharashtra,21.15,79.09,31.1,22.0,
2026-04-24T22:10:57+00:00,open_meteo,Bengaluru,Karnataka,12.97,77.59,25.1,48.0,
2026-04-24T22:11:09+00:00,nasa_power,Angul,Odisha,20.84,85.1,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Bhubaneshwar,Odisha,20.26,85.83,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Cuttack,Odisha,20.46,85.88,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Sambalpur,Odisha,21.47,83.97,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Delhi,Delhi,28.61,77.21,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Lucknow,Uttar Pradesh,26.85,80.95,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Kolkata,West Bengal,22.57,88.36,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Mumbai,Maharashtra,19.08,72.88,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Chennai,Tamil Nadu,13.08,80.27,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Ahmedabad,Gujarat,23.03,72.58,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Nagpur,Maharashtra,21.15,79.09,,,no_data
2026-04-24T22:11:09+00:00,nasa_power,Bengaluru,Karnataka,12.97,77.59,,,no_data
2026-04-24T22:11:22+00:00,imd_aws,Angul,Odisha,20.84,85.1,,,no imd station configured
2026-04-24T22:11:22+00:00,imd_aws,Bhubaneshwar,Odisha,20.26,85.83,,,station=Bhubaneshwar Airport
2026-04-24T22:11:22+00:00,imd_aws,Cuttack,Odisha,20.46,85.88,27.6,,station=Cuttack Kvk
2026-04-24T22:11:22+00:00,imd_aws,Sambalpur,Odisha,21.47,83.97,26.2,59.0,station=Dhankauda
2026-04-24T22:11:22+00:00,imd_aws,Delhi,Delhi,28.61,77.21,28.0,44.0,station=Kvk Crpf Campus
2026-04-24T22:11:22+00:00,imd_aws,Lucknow,Uttar Pradesh,26.85,80.95,27.4,45.0,station=Meteorological Centre Amausi
